degree_of_automation,onet_code,occupation,year
21,19-4021.00,Biological Technicians,2012
21,53-7061.00,Cleaners of Vehicles and Equipment Bright Outlook,2012
21,25-1021.00,"Computer Science Teachers, Postsecondary",2012
21,35-2012.00,"Cooks, Institution and Cafeteria Bright Outlook",2012
21,51-9081.00,Dental Laboratory Technicians,2012
21,19-3011.00,Economists,2012
21,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,2012
21,19-2041.00,"Environmental Scientists and Specialists, Including Health Green Occupation",2012
21,27-1023.00,Floral Designers,2012
21,21-1022.00,Healthcare Social Workers Bright Outlook,2012
21,51-4192.00,"Layout Workers, Metal and Plastic",2012
21,51-9082.00,Medical Appliance Technicians,2012
21,33-1021.01,Municipal Fire Fighting and Prevention Supervisors,2012
21,51-9122.00,"Painters, Transportation Equipment",2012
21,51-9195.05,"Potters, Manufacturing",2012
21,29-1126.00,Respiratory Therapists,2012
21,41-2031.00,Retail Salespersons Bright Outlook,2012
21,47-5051.00,"Rock Splitters, Quarry",2012
21,47-5012.00,"Rotary Drill Operators, Oil and Gas",2012
21,27-2042.01,Singers,2012
21,25-1113.00,"Social Work Teachers, Postsecondary",2012
21,47-2053.00,Terrazzo Workers and Finishers,2012
21,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2012
21,29-2056.00,Veterinary Technologists and Technicians Bright Outlook,2012
20,49-3011.00,Aircraft Mechanics and Service Technicians,2012
20,19-2011.00,Astronomers,2012
20,29-9091.00,Athletic Trainers Bright Outlook,2012
20,11-1011.00,Chief Executives Bright Outlook,2012
20,17-3023.01,Electronics Engineering Technicians Green Occupation,2012
20,13-1199.01,Energy Auditors Bright Outlook Green Occupation,2012
20,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers Bright Outlook,2012
20,35-3041.00,"Food Servers, Nonrestaurant",2012
20,25-1125.00,"History Teachers, Postsecondary",2012
20,31-1011.00,Home Health Aides Bright Outlook,2012
20,25-1022.00,"Mathematical Science Teachers, Postsecondary",2012
20,21-1023.00,Mental Health and Substance Abuse Social Workers Bright Outlook,2012
20,33-2011.01,Municipal Firefighters Bright Outlook,2012
20,19-3039.01,Neuropsychologists and Clinical Neuropsychologists Bright Outlook,2012
20,29-1065.00,"Pediatricians, General",2012
20,53-5011.00,Sailors and Marine Oilers,2012
20,39-5093.00,Shampooers,2012
20,53-5021.01,Ship and Boat Captains,2012
20,29-2055.00,Surgical Technologists,2012
20,53-6041.00,Traffic Technicians,2012
19,15-1111.00,Computer and Information Research Scientists,2012
19,47-4011.00,Construction and Building Inspectors Green Occupation,2012
19,35-2014.00,"Cooks, Restaurant Bright Outlook",2012
19,43-5021.00,Couriers and Messengers,2012
19,25-2021.00,"Elementary School Teachers, Except Special Education Bright Outlook",2012
19,33-2021.01,Fire Inspectors,2012
19,33-3031.00,Fish and Game Wardens Green Occupation,2012
19,33-2022.00,Forest Fire Inspectors and Prevention Specialists,2012
19,39-4021.00,Funeral Attendants,2012
19,45-2041.00,"Graders and Sorters, Agricultural Products",2012
19,25-1191.00,Graduate Teaching Assistants,2012
19,49-9031.00,Home Appliance Repairers,2012
19,51-9071.01,Jewelers,2012
19,43-4051.03,Patient Representatives Bright Outlook,2012
19,51-7032.00,"Patternmakers, Wood",2012
19,39-9021.00,Personal Care Aides Bright Outlook,2012
19,49-2021.01,Radio Mechanics Bright Outlook,2012
19,29-1125.00,Recreational Therapists,2012
19,51-6051.00,"Sewers, Hand",2012
19,11-9151.00,Social and Community Service Managers,2012
19,51-6093.00,Upholsterers,2012
18,29-1141.02,Advanced Practice Psychiatric Nurses Bright Outlook,2012
18,53-2022.00,Airfield Operations Specialists,2012
18,45-2021.00,Animal Breeders,2012
18,23-1022.00,"Arbitrators, Mediators, and Conciliators Green Occupation",2012
18,27-2021.00,Athletes and Sports Competitors,2012
18,49-3022.00,Automotive Glass Installers and Repairers,2012
18,29-1011.00,Chiropractors,2012
18,27-2022.00,Coaches and Scouts Bright Outlook,2012
18,25-1122.00,"Communications Teachers, Postsecondary",2012
18,47-2061.00,Construction Laborers Bright Outlook Green Occupation,2012
18,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",2012
18,47-5021.00,"Earth Drillers, Except Oil and Gas",2012
18,21-1012.00,"Educational, Guidance, School, and Vocational Counselors Bright Outlook",2012
18,39-1011.00,Gaming Supervisors,2012
18,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall Green Occupation",2012
18,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand Bright Outlook Green Occupation",2012
18,37-3011.00,Landscaping and Groundskeeping Workers Bright Outlook,2012
18,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education Bright Outlook",2012
18,29-1064.00,Obstetricians and Gynecologists,2012
18,37-2021.00,Pest Control Workers,2012
18,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",2012
18,25-1067.00,"Sociology Teachers, Postsecondary",2012
18,25-2054.00,"Special Education Teachers, Secondary School",2012
18,33-3052.00,Transit and Railroad Police,2012
17,47-5011.00,"Derrick Operators, Oil and Gas",2012
17,25-1063.00,"Economics Teachers, Postsecondary",2012
17,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",2012
17,51-2091.00,Fiberglass Laminators and Fabricators,2012
17,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers Green Occupation",2012
17,53-7051.00,Industrial Truck and Tractor Operators Bright Outlook Green Occupation,2012
17,25-9031.00,Instructional Coordinators,2012
17,25-1112.00,"Law Teachers, Postsecondary",2012
17,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2012
17,43-5081.02,Marking Clerks Bright Outlook,2012
17,29-1171.00,Nurse Practitioners Bright Outlook,2012
17,47-2161.00,Plasterers and Stucco Masons,2012
17,39-5094.00,Skincare Specialists,2012
17,19-3041.00,Sociologists,2012
17,25-2053.00,"Special Education Teachers, Middle School",2012
16,25-1052.00,"Chemistry Teachers, Postsecondary",2012
16,19-4061.01,City and Regional Planning Aides,2012
16,25-1081.00,"Education Teachers, Postsecondary",2012
16,17-2072.00,"Electronics Engineers, Except Computer Green Occupation",2012
16,27-4032.00,Film and Video Editors,2012
16,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",2012
16,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2012
16,53-4012.00,Locomotive Firers,2012
16,47-2142.00,Paperhangers,2012
16,19-3094.00,Political Scientists,2012
16,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2012
16,47-2031.02,Rough Carpenters Bright Outlook Green Occupation,2012
16,47-2221.00,Structural Iron and Steel Workers Green Occupation,2012
16,51-2041.00,Structural Metal Fabricators and Fitters Green Occupation,2012
16,29-1131.00,Veterinarians Bright Outlook,2012
15,47-2021.00,Brickmasons and Blockmasons Bright Outlook,2012
15,27-2031.00,Dancers,2012
15,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2012
15,45-4023.00,Log Graders and Scalers,2012
15,49-9011.00,Mechanical Door Repairers,2012
15,51-7031.00,"Model Makers, Wood",2012
15,31-2011.00,Occupational Therapy Assistants Bright Outlook,2012
15,29-1123.00,Physical Therapists Bright Outlook,2012
15,25-1054.00,"Physics Teachers, Postsecondary",2012
15,25-1065.00,"Political Science Teachers, Postsecondary",2012
15,49-9096.00,Riggers,2012
15,41-9031.00,Sales Engineers,2012
14,19-3091.02,Archeologists,2012
14,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2012
14,35-3011.00,Bartenders Bright Outlook,2012
14,47-2011.00,Boilermakers Green Occupation,2012
14,49-9061.00,Camera and Photographic Equipment Repairers,2012
14,47-2031.01,Construction Carpenters Bright Outlook Green Occupation,2012
14,35-2013.00,"Cooks, Private Household",2012
14,19-3031.03,Counseling Psychologists,2012
14,27-1022.00,Fashion Designers,2012
14,33-1021.02,Forest Fire Fighting and Prevention Supervisors,2012
14,25-1192.00,"Home Economics Teachers, Postsecondary",2012
14,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners Bright Outlook",2012
14,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",2012
14,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",2012
14,47-2072.00,Pile-Driver Operators Bright Outlook,2012
14,27-3043.05,"Poets, Lyricists and Creative Writers",2012
14,43-9081.00,Proofreaders and Copy Markers,2012
14,25-1066.00,"Psychology Teachers, Postsecondary",2012
14,25-3021.00,Self-Enrichment Education Teachers,2012
14,47-2022.00,Stonemasons Bright Outlook,2012
14,47-2082.00,Tapers Bright Outlook,2012
13,25-1042.00,"Biological Science Teachers, Postsecondary",2012
13,13-1041.06,Coroners,2012
13,39-3092.00,Costume Attendants,2012
13,33-2011.02,Forest Firefighters Bright Outlook,2012
13,53-3032.00,Heavy and Tractor-Trailer Truck Drivers Bright Outlook Green Occupation,2012
13,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2012
13,21-1013.00,Marriage and Family Therapists Bright Outlook,2012
13,27-2041.04,Music Composers and Arrangers,2012
13,31-2012.00,Occupational Therapy Aides Bright Outlook,2012
13,47-2152.01,Pipe Fitters and Steamfitters Bright Outlook Green Occupation,2012
13,53-4031.00,Railroad Conductors and Yardmasters Green Occupation,2012
13,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education Bright Outlook",2012
13,27-1027.00,Set and Exhibit Designers,2012
13,51-6042.00,Shoe Machine Operators and Tenders,2012
13,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard Bright Outlook",2012
13,39-7011.00,Tour Guides and Escorts,2012
13,37-3013.00,Tree Trimmers and Pruners,2012
12,19-3091.01,Anthropologists,2012
12,49-3091.00,Bicycle Repairers Bright Outlook,2012
12,19-3031.02,Clinical Psychologists,2012
12,11-9121.01,Clinical Research Coordinators Bright Outlook,2012
12,27-3043.04,Copy Writers,2012
12,51-2023.00,Electromechanical Equipment Assemblers,2012
12,45-4021.00,Fallers,2012
12,47-2132.00,"Insulation Workers, Mechanical Bright Outlook",2012
12,29-1199.04,Naturopathic Physicians Bright Outlook,2012
12,47-2141.00,"Painters, Construction and Maintenance Bright Outlook",2012
12,29-1127.00,Speech-Language Pathologists,2012
12,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",2012
12,35-3031.00,Waiters and Waitresses Bright Outlook,2012
11,29-1199.01,Acupuncturists Bright Outlook,2012
11,27-1012.00,Craft Artists,2012
11,25-4012.00,Curators,2012
11,47-2111.00,Electricians Bright Outlook Green Occupation,2012
11,25-1032.00,"Engineering Teachers, Postsecondary",2012
11,49-3041.00,Farm Equipment Mechanics and Service Technicians,2012
11,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists Bright Outlook",2012
11,49-3052.00,Motorcycle Mechanics,2012
11,29-1161.00,Nurse Midwives Bright Outlook,2012
11,19-2012.00,Physicists,2012
11,31-9099.01,Speech-Language Pathology Assistants Bright Outlook,2012
11,29-1067.00,Surgeons,2012
11,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",2012
10,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers Green Occupation",2012
10,49-3023.01,Automotive Master Mechanics Bright Outlook,2012
10,49-3023.02,Automotive Specialty Technicians Bright Outlook Green Occupation,2012
10,21-2021.00,"Directors, Religious Activities and Education",2012
10,25-1053.00,"Environmental Science Teachers, Postsecondary",2012
10,25-1064.00,"Geography Teachers, Postsecondary",2012
10,47-3013.00,Helpers--Electricians Bright Outlook,2012
10,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters Bright Outlook",2012
10,49-9062.00,Medical Equipment Repairers Bright Outlook,2012
10,41-9012.00,Models,2012
10,49-3051.00,Motorboat Mechanics and Service Technicians,2012
10,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,2012
10,29-1069.07,Pathologists Bright Outlook,2012
10,31-2021.00,Physical Therapist Assistants Bright Outlook,2012
10,49-3043.00,Rail Car Repairers,2012
9,25-1031.00,"Architecture Teachers, Postsecondary",2012
9,49-3021.00,Automotive Body and Related Repairers,2012
9,53-3022.00,"Bus Drivers, School or Special Client Bright Outlook",2012
9,25-1123.00,"English Language and Literature Teachers, Postsecondary",2012
9,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",2012
9,35-2021.00,Food Preparation Workers Bright Outlook,2012
9,29-9092.00,Genetic Counselors,2012
9,47-3012.00,Helpers--Carpenters Bright Outlook Green Occupation,2012
9,17-2131.00,Materials Engineers,2012
9,19-1042.00,"Medical Scientists, Except Epidemiologists Bright Outlook",2012
9,39-2021.00,Nonfarm Animal Caretakers,2012
9,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",2012
9,29-1022.00,Oral and Maxillofacial Surgeons,2012
9,25-2011.00,"Preschool Teachers, Except Special Education Bright Outlook",2012
9,27-2023.00,"Umpires, Referees, and Other Sports Officials",2012
8,49-9092.00,Commercial Divers,2012
8,47-4031.00,Fence Erectors,2012
8,15-2021.00,Mathematicians,2012
8,25-4013.00,Museum Technicians and Conservators,2012
8,29-1122.00,Occupational Therapists Bright Outlook,2012
8,49-3092.00,Recreational Vehicle Service Technicians,2012
8,19-1023.00,Zoologists and Wildlife Biologists Green Occupation,2012
7,39-5011.00,Barbers,2012
7,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists Green Occupation,2012
7,45-3021.00,Hunters and Trappers,2012
7,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists Bright Outlook",2012
7,27-2041.01,Music Directors,2012
7,51-6041.00,Shoe and Leather Workers and Repairers,2012
7,27-2012.04,Talent Directors,2012
7,25-9041.00,Teacher Assistants Bright Outlook,2012
6,21-2011.00,Clergy,2012
6,41-9011.00,Demonstrators and Product Promoters,2012
6,39-9031.00,Fitness Trainers and Aerobics Instructors Bright Outlook,2012
6,31-9011.00,Massage Therapists,2012
5,27-2011.00,Actors,2012
5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",2012
5,47-2041.00,Carpet Installers,2012
5,25-2012.00,"Kindergarten Teachers, Except Special Education",2012
5,49-9063.00,Musical Instrument Repairers and Tuners,2012
5,47-2171.00,Reinforcing Iron and Rebar Workers Bright Outlook,2012
4,39-2011.00,Animal Trainers,2012
4,27-2032.00,Choreographers,2012
4,33-9091.00,Crossing Guards,2012
4,47-2044.00,Tile and Marble Setters,2012
4,49-9064.00,Watch Repairers,2012
3,17-3021.00,Aerospace Engineering and Operations Technicians,2012
3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",2012
3,39-9011.01,Nannies Bright Outlook,2012
1,39-5091.00,"Makeup Artists, Theatrical and Performance",2012
1,49-9095.00,Manufactured Building and Mobile Home Installers,2012
0,27-2042.02,"Musicians, Instrumental",2012
74,51-9194.00,Etchers and Engravers,2017
74,45-2092.02,"Farmworkers and Laborers, Crop Bright Outlook Bright Outlook",2017
73,13-1031.01,"Claims Examiners, Property and Casualty Insurance",2017
70,41-3041.00,Travel Agents,2017
69,17-2199.08,Robotics Engineers Bright Outlook Green Occupation Green,2017
68,13-1199.03,Customs Brokers Bright Outlook,2017
68,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2017
67,29-2011.00,Medical and Clinical Laboratory Technologists Bright Outlook,2017
66,51-8091.00,Chemical Plant and System Operators Green Occupation,2017
66,43-2021.00,Telephone Operators,2017
65,53-2021.00,Air Traffic Controllers,2017
65,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,2017
64,51-8099.01,Biofuels Processing Technicians Bright Outlook Green Occupation,2017
63,25-4031.00,Library Technicians,2017
63,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders Green Occupation",2017
61,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",2017
61,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2017
60,11-3051.03,Biofuels Production Managers Bright Outlook Green Occupation,2017
60,53-7071.00,Gas Compressor and Gas Pumping Station Operators,2017
59,43-9041.01,Insurance Claims Clerks,2017
58,11-3051.04,Biomass Power Plant Managers Bright Outlook Green Occupation,2017
58,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic Bright Outlook Green Occupation",2017
58,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,2017
58,33-3021.05,Immigration and Customs Inspectors,2017
58,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2017
57,43-4011.00,Brokerage Clerks,2017
57,51-6011.00,Laundry and Dry-Cleaning Workers,2017
57,51-8021.00,Stationary Engineers and Boiler Operators Green Occupation,2017
56,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2017
56,13-1032.00,"Insurance Appraisers, Auto Damage",2017
55,13-2011.01,Accountants Bright Outlook,2017
55,43-9021.00,Data Entry Keyers,2017
55,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2017
55,51-8092.00,Gas Plant Operators,2017
55,29-2011.03,Histotechnologists and Histologic Technicians Bright Outlook,2017
55,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",2017
55,25-4021.00,Librarians,2017
55,11-9111.00,Medical and Health Services Managers Bright Outlook,2017
55,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2017
55,51-9083.00,Ophthalmic Laboratory Technicians,2017
55,17-3024.01,Robotics Technicians Bright Outlook Green Occupation,2017
55,51-9197.00,Tire Builders,2017
54,17-1021.00,Cartographers and Photogrammetrists Bright Outlook,2017
54,13-2072.00,Loan Officers,2017
54,39-3021.00,Motion Picture Projectionists,2017
54,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2017
53,53-6011.00,Bridge and Lock Tenders,2017
53,51-3093.00,Food Cooking Machine Operators and Tenders,2017
53,41-2012.00,Gaming Change Persons and Booth Cashiers,2017
53,41-3021.00,Insurance Sales Agents Bright Outlook,2017
53,43-4131.00,Loan Interviewers and Clerks,2017
53,29-2012.00,Medical and Clinical Laboratory Technicians Bright Outlook,2017
53,51-8013.00,Power Plant Operators Green Occupation,2017
52,43-4041.02,Credit Checkers,2017
52,43-4081.00,"Hotel, Motel, and Resort Desk Clerks Bright Outlook",2017
52,51-9111.00,Packaging and Filling Machine Operators and Tenders Bright Outlook,2017
52,51-5111.00,Prepress Technicians and Workers,2017
52,53-7081.00,Refuse and Recyclable Material Collectors Green Occupation,2017
52,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2017
52,41-9041.00,Telemarketers,2017
51,43-3011.00,Bill and Account Collectors,2017
51,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic Green Occupation",2017
51,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2017
51,43-9041.02,Insurance Policy Processing Clerks,2017
51,13-2053.00,Insurance Underwriters,2017
51,43-4031.03,License Clerks,2017
51,51-8011.00,Nuclear Power Reactor Operators Green Occupation,2017
51,43-3051.00,Payroll and Timekeeping Clerks,2017
51,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,2017
50,53-7011.00,Conveyor Operators and Tenders,2017
50,53-7031.00,Dredge Operators,2017
50,15-1199.04,Geospatial Information Scientists and Technologists Bright Outlook Green Occupation,2017
50,13-1071.00,Human Resources Specialists Bright Outlook,2017
50,53-7072.00,"Pump Operators, Except Wellhead Pumpers",2017
50,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard Bright Outlook",2017
50,11-3031.01,Treasurers and Controllers Bright Outlook,2017
49,15-2011.00,Actuaries Bright Outlook,2017
49,43-9111.01,Bioinformatics Technicians Bright Outlook,2017
49,13-1021.00,"Buyers and Purchasing Agents, Farm Products Green Occupation",2017
49,17-2041.00,Chemical Engineers Green Occupation,2017
49,15-1199.12,Document Management Specialists Bright Outlook,2017
49,13-2061.00,Financial Examiners,2017
49,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2017
49,33-3021.06,Intelligence Analysts Bright Outlook,2017
49,23-1023.00,"Judges, Magistrate Judges, and Magistrates",2017
49,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",2017
49,31-9092.00,Medical Assistants Bright Outlook,2017
49,43-4141.00,New Accounts Clerks,2017
49,13-2082.00,Tax Preparers,2017
49,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2017
49,53-7073.00,Wellhead Pumpers,2017
48,13-2011.02,Auditors Bright Outlook,2017
48,51-8099.03,Biomass Plant Technicians Bright Outlook Green Occupation,2017
48,13-2031.00,Budget Analysts,2017
48,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",2017
48,15-1141.00,Database Administrators,2017
48,17-3029.04,Electronics Engineering Technologists Bright Outlook Green Occupation,2017
48,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,2017
48,51-3092.00,Food Batchmakers,2017
48,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2017
48,13-1081.02,Logistics Analysts Bright Outlook Green Occupation,2017
48,47-5042.00,Mine Cutting and Channeling Machine Operators,2017
48,29-1124.00,Radiation Therapists Bright Outlook,2017
48,13-2099.02,Risk Management Specialists Bright Outlook Green Occupation,2017
48,43-3071.00,Tellers Bright Outlook,2017
47,19-2021.00,Atmospheric and Space Scientists Green Occupation,2017
47,27-4012.00,Broadcast Technicians,2017
47,51-9011.00,Chemical Equipment Operators and Tenders Green Occupation,2017
47,17-3022.00,Civil Engineering Technicians,2017
47,43-9011.00,Computer Operators,2017
47,43-4031.01,Court Clerks,2017
47,43-4041.01,Credit Authorizers,2017
47,51-4071.00,Foundry Mold and Coremakers,2017
47,43-5011.01,Freight Forwarders Bright Outlook Green Occupation,2017
47,43-3041.00,Gaming Cage Workers,2017
47,53-7063.00,Machine Feeders and Offbearers,2017
47,13-2052.00,Personal Financial Advisors Bright Outlook Green Occupation,2017
47,31-9095.00,Pharmacy Aides,2017
47,43-4171.00,Receptionists and Information Clerks Bright Outlook,2017
47,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",2017
47,23-2093.00,"Title Examiners, Abstractors, and Searchers",2017
47,51-8031.00,Water and Wastewater Treatment Plant and System Operators,2017
46,51-9191.00,Adhesive Bonding Machine Operators and Tenders,2017
46,39-6011.00,Baggage Porters and Bellhops,2017
46,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2017
46,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2017
46,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2017
46,43-4051.00,Customer Service Representatives Bright Outlook Green Occupation,2017
46,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment Green Occupation",2017
46,11-9013.02,Farm and Ranch Managers Bright Outlook Green Occupation,2017
46,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2017
46,47-3016.00,Helpers--Roofers Bright Outlook,2017
46,13-1081.00,Logisticians,2017
46,31-9094.00,Medical Transcriptionists,2017
46,51-4051.00,Metal-Refining Furnace Operators and Tenders,2017
46,51-5112.00,Printing Press Operators,2017
46,41-3031.03,Securities and Commodities Traders Bright Outlook Green Occupation,2017
46,51-9141.00,Semiconductor Processors,2017
46,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",2017
45,19-1011.00,Animal Scientists,2017
45,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks Bright Outlook",2017
45,17-3011.02,Civil Drafters,2017
45,15-1151.00,Computer User Support Specialists Bright Outlook,2017
45,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",2017
45,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance Green Occupation",2017
45,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2017
45,15-1199.05,Geographic Information Systems Technicians Bright Outlook Green Occupation,2017
45,15-1121.01,Informatics Nurse Specialists Bright Outlook,2017
45,17-3029.12,Nanotechnology Engineering Technicians Bright Outlook Green Occupation,2017
45,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2017
45,43-3061.00,Procurement Clerks,2017
45,27-3011.00,Radio and Television Announcers,2017
45,29-2099.06,Radiologic Technicians Bright Outlook,2017
44,13-2021.02,"Appraisers, Real Estate",2017
44,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic Green Occupation",2017
44,17-3012.02,Electrical Drafters,2017
44,17-3029.03,Electromechanical Engineering Technologists Bright Outlook Green Occupation,2017
44,17-3012.01,Electronic Drafters,2017
44,43-4061.00,"Eligibility Interviewers, Government Programs",2017
44,45-3011.00,Fishers and Related Fishing Workers,2017
44,19-1012.00,Food Scientists and Technologists,2017
44,39-3012.00,Gaming and Sports Book Writers and Runners,2017
44,17-1022.01,Geodetic Surveyors Bright Outlook,2017
44,19-4041.01,Geophysical Data Technicians Green Occupation,2017
44,49-9099.01,Geothermal Technicians Bright Outlook Green Occupation,2017
44,15-2091.00,Mathematical Technicians,2017
44,17-3013.00,Mechanical Drafters,2017
44,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",2017
44,11-3061.00,Purchasing Managers,2017
44,41-3031.02,"Sales Agents, Financial Services",2017
44,53-4041.00,Subway and Streetcar Operators,2017
44,17-3031.01,Surveying Technicians,2017
43,19-4031.00,Chemical Technicians Green Occupation,2017
43,27-1021.00,Commercial and Industrial Designers Green Occupation,2017
43,13-2071.00,Credit Counselors Bright Outlook,2017
43,29-2011.01,Cytogenetic Technologists Bright Outlook,2017
43,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2017
43,49-9041.00,Industrial Machinery Mechanics Bright Outlook Green Occupation,2017
43,43-4121.00,"Library Assistants, Clerical",2017
43,11-3071.03,Logistics Managers Bright Outlook Green Occupation,2017
43,29-2035.00,Magnetic Resonance Imaging Technologists,2017
43,17-3029.09,Manufacturing Production Technicians Bright Outlook Green Occupation,2017
43,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders Green Occupation",2017
43,51-9195.07,Molding and Casting Workers,2017
43,29-1041.00,Optometrists Bright Outlook,2017
43,23-2011.00,Paralegals and Legal Assistants,2017
43,51-5113.00,Print Binding and Finishing Workers,2017
43,41-9021.00,Real Estate Brokers,2017
43,19-2099.01,Remote Sensing Scientists and Technologists Bright Outlook Green Occupation,2017
43,11-9199.04,Supply Chain Managers Bright Outlook Green Occupation,2017
43,43-2011.00,"Switchboard Operators, Including Answering Service",2017
43,15-1199.03,Web Administrators Bright Outlook,2017
42,11-1011.00,Chief Executives,2017
42,51-2021.00,"Coil Winders, Tapers, and Finishers",2017
42,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",2017
42,15-1131.00,Computer Programmers,2017
42,29-2011.02,Cytotechnologists Bright Outlook,2017
42,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers Green Occupation,2017
42,43-6012.00,Legal Secretaries,2017
42,45-4022.00,Logging Equipment Operators,2017
42,17-3031.02,Mapping Technicians,2017
42,13-1199.06,Online Merchants Bright Outlook,2017
42,31-1015.00,Orderlies,2017
42,29-2052.00,Pharmacy Technicians,2017
42,51-8012.00,Power Distributors and Dispatchers Green Occupation,2017
41,41-3011.00,Advertising Sales Agents,2017
41,27-4011.00,Audio and Video Equipment Technicians,2017
41,35-3022.01,Baristas Bright Outlook,2017
41,47-2011.00,Boilermakers Green Occupation,2017
